"Event Type","Start Time","Server ID","Customer ID","Queue Size","Busy Servers"
"Arrival",2.01503254830,-1,1,0,0
"Service",2.01503254830,1,1,0,1
"Arrival",2.12594265889,-1,2,0,1
"Departure",6.58392374129,1,1,1,0
"Service",6.58392374129,1,2,0,1
"Arrival",10.0725224278,-1,3,0,1
"Departure",11.6632519800,1,2,1,0
"Service",11.6632519800,1,3,0,1
"Departure",16.7126189879,1,3,0,0
"Arrival",29.7758180833,-1,4,0,0
"Service",29.7758180833,1,4,0,1
"Arrival",37.7923474447,-1,5,0,1
"Departure",40.8109988293,1,4,1,0
"Service",40.8109988293,1,5,0,1
"Departure",44.4587212378,1,5,0,0
"Arrival",83.0002494953,-1,6,0,0
"Service",83.0002494953,1,6,0,1
"Departure",88.6181122046,1,6,0,0
"Arrival",98.5053609090,-1,7,0,0
"Service",98.5053609090,1,7,0,1
"Arrival",101.939664754,-1,8,0,1
"Departure",102.856574856,1,7,1,0
"Service",102.856574856,1,8,0,1
"Departure",118.794496637,1,8,0,0
"Arrival",126.398699459,-1,9,0,0
"Service",126.398699459,1,9,0,1
"Departure",131.893450980,1,9,0,0
"Arrival",134.921490720,-1,10,0,0
"Service",134.921490720,1,10,0,1
"Departure",142.384056524,1,10,0,0
"Arrival",142.828731669,-1,11,0,0
"Service",142.828731669,1,11,0,1
"Arrival",144.989465720,-1,12,0,1
"Departure",147.149157741,1,11,1,0
"Service",147.149157741,1,12,0,1
"Arrival",155.397786674,-1,13,0,1
"Departure",156.807808152,1,12,1,0
"Service",156.807808152,1,13,0,1
"Arrival",157.511786487,-1,14,0,1
"Arrival",159.678654018,-1,15,1,1
"Arrival",166.652193453,-1,16,2,1
"Arrival",175.676993240,-1,17,3,1
"Departure",176.128000301,1,13,4,0
"Service",176.128000301,1,14,3,1
"Arrival",181.463245627,-1,18,3,1
"Departure",188.435657217,1,14,4,0
"Service",188.435657217,1,15,3,1
"Arrival",195.977232273,-1,19,3,1
"Departure",199.188470944,1,15,4,0
"Service",199.188470944,1,16,3,1
"Departure",205.353457872,1,16,3,0
"Service",205.353457872,1,17,2,1
"Departure",214.127284367,1,17,2,0
"Service",214.127284367,1,18,1,1
"Arrival",215.497915819,-1,20,1,1
"Arrival",217.317139530,-1,21,2,1
"Departure",221.007277521,1,18,3,0
"Service",221.007277521,1,19,2,1
"Departure",227.096952053,1,19,2,0
"Service",227.096952053,1,20,1,1
"Departure",241.260677290,1,20,1,0
"Service",241.260677290,1,21,0,1
"Departure",246.930695721,1,21,0,0
"Arrival",253.104403472,-1,22,0,0
"Service",253.104403472,1,22,0,1
"Arrival",253.686283909,-1,23,0,1
"Arrival",255.075960359,-1,24,1,1
"Departure",258.320969879,1,22,2,0
"Service",258.320969879,1,23,1,1
"Arrival",260.679893871,-1,25,1,1
"Arrival",262.561254888,-1,26,2,1
"Arrival",266.565939154,-1,27,3,1
"Arrival",273.289271142,-1,28,4,1
"Departure",274.201821380,1,23,5,0
"Service",274.201821380,1,24,4,1
"Departure",282.834253519,1,24,4,0
"Service",282.834253519,1,25,3,1
"Departure",293.723372475,1,25,3,0
"Service",293.723372475,1,26,2,1
"Arrival",298.106678717,-1,29,2,1
"Departure",298.950412261,1,26,3,0
"Service",298.950412261,1,27,2,1
"Departure",306.170009928,1,27,2,0
"Service",306.170009928,1,28,1,1
"Departure",314.106206606,1,28,1,0
"Service",314.106206606,1,29,0,1
"Arrival",317.335829756,-1,30,0,1
"Departure",317.568646210,1,29,1,0
"Service",317.568646210,1,30,0,1
"Departure",324.134836619,1,30,0,0
"Arrival",347.349301011,-1,31,0,0
"Service",347.349301011,1,31,0,1
